strain	date	country	region	host	accession	isolates	authors
R-Jul-18-5-pT6_MZ670901_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670901	R-Jul-18-5-pT6	Osundahunsi et al.
R-Oct-18-5-pT5_MZ670902_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670902	R-Oct-18-5-pT5	Osundahunsi et al.
R-Sep-18-5-pT2_MZ670903_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670903	R-Sep-18-5-pT2	Osundahunsi et al.
R-Sep-18-5-pT6_MZ670904_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670904	R-Sep-18-5-pT6	Osundahunsi et al.
R-Sep-18-5-pT8_MZ670905_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670905	R-Sep-18-5-pT8	Osundahunsi et al.
R-Aug-18-5-pT8_MZ670906_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670906	R-Aug-18-5-pT8	Osundahunsi et al.
R-Oct-18-5-pT8_MZ670907_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670907	R-Oct-18-5-pT8	Osundahunsi et al.
R-Jul-18-5-pT3_MZ670908_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670908	R-Jul-18-5-pT3	Osundahunsi et al.
R-Aug-18-5-pT3_MZ670909_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670909	R-Aug-18-5-pT3	Osundahunsi et al.
R-Jul-18-5-pT5_MZ670910_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670910	R-Jul-18-5-pT5	Osundahunsi et al.
R-Jul-18-5-pT10_MZ670911_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670911	R-Jul-18-5-pT10	Osundahunsi et al.
R-Sep-18-5-pT11_MZ670912_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670912	R-Sep-18-5-pT11	Osundahunsi et al.
R-Sep-18-5-pT12_MZ670913_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670913	R-Sep-18-5-pT12	Osundahunsi et al.
R-Oct-18-5-pT11_MZ670914_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670914	R-Oct-18-5-pT11	Osundahunsi et al.
R-Aug-18-5-pT9_MZ670915_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670915	R-Aug-18-5-pT9	Osundahunsi et al.
R-Oct-18-5-pT2_MZ670916_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-12	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670916	R-Oct-18-5-pT2	Osundahunsi et al.
R-Jul-18-5-pT4_MZ670917_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670917	R-Jul-18-5-pT4	Osundahunsi et al.
R-Oct-18-5-pT12_MZ670918_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670918	R-Oct-18-5-pT12	Osundahunsi et al.
R-Jul-18-5-pT13_MZ670919_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-07-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670919	R-Jul-18-5-pT13	Osundahunsi et al.
R-Oct-18-5-pT10_MZ670920_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670920	R-Oct-18-5-pT10	Osundahunsi et al.
R-Aug-18-5-pT6_MZ670921_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670921	R-Aug-18-5-pT6	Osundahunsi et al.
R-Oct-18-5-pT4_MZ670922_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-23	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670922	R-Oct-18-5-pT4	Osundahunsi et al.
R-Oct-18-5-pT13_MZ670923_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-10-12	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670923	R-Oct-18-5-pT13	Osundahunsi et al.
R-Aug-18-5-pT13_MZ670924_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670924	R-Aug-18-5-pT13	Osundahunsi et al.
R-Aug-18-5-pT5_MZ670925_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2018	2018-08-09	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670925	R-Aug-18-5-pT5	Osundahunsi et al.
R-Aug-19-50-pT2_MZ670926_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-01	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670926	R-Aug-19-50-pT2	Osundahunsi et al.
R-Sep-19-50-pT3_MZ670927_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670927	R-Sep-19-50-pT3	Osundahunsi et al.
R-Oct-19-50-pT2_MZ670928_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670928	R-Oct-19-50-pT2	Osundahunsi et al.
R-Oct-19-50-pT42_MZ670929_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670929	R-Oct-19-50-pT42	Osundahunsi et al.
R-Oct-19-50-pT8_MZ670930_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670930	R-Oct-19-50-pT8	Osundahunsi et al.
R-Aug-19-50-pT1_MZ670931_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670931	R-Aug-19-50-pT1	Osundahunsi et al.
R-Oct-19-50-pT6_MZ670932_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670932	R-Oct-19-50-pT6	Osundahunsi et al.
R-Sep-19-50-pT7_MZ670933_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670933	R-Sep-19-50-pT7	Osundahunsi et al.
R-Aug-19-50-pT7_MZ670934_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670934	R-Aug-19-50-pT7	Osundahunsi et al.
R-Oct-19-50-pT4_MZ670935_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670935	R-Oct-19-50-pT4	Osundahunsi et al.
R-Sep-19-50-pT1_MZ670936_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670936	R-Sep-19-50-pT1	Osundahunsi et al.
R-Aug-19-50-pT21_MZ670937_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670937	R-Aug-19-50-pT21	Osundahunsi et al.
R-Sep-19-50-pT4_MZ670938_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670938	R-Sep-19-50-pT4	Osundahunsi et al.
R-Sep-19-50-pT2_MZ670939_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670939	R-Sep-19-50-pT2	Osundahunsi et al.
R-Oct-19-50-pT3_MZ670940_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670940	R-Oct-19-50-pT3	Osundahunsi et al.
R-Oct-19-50-PT5_MZ670941_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670941	R-Oct-19-50-PT5	Osundahunsi et al.
R-Sep-19-50-pT8_MZ670942_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670942	R-Sep-19-50-pT8	Osundahunsi et al.
R-Aug-19-50-pT6_MZ670943_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670943	R-Aug-19-50-pT6	Osundahunsi et al.
R-Sep-19-50-pT53_MZ670944_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-09-03	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670944	R-Sep-19-50-pT53	Osundahunsi et al.
R-Oct-19-50-pT51_MZ670945_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670945	R-Oct-19-50-pT51	Osundahunsi et al.
R-Oct-19-50-pT22_MZ670946_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670946	R-Oct-19-50-pT22	Osundahunsi et al.
R-Oct-19-50-pT1_MZ670947_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670947	R-Oct-19-50-pT1	Osundahunsi et al.
R-Oct-19-50-pT32_MZ670948_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670948	R-Oct-19-50-pT32	Osundahunsi et al.
R-Aug-19-50-pT4_MZ670949_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670949	R-Aug-19-50-pT4	Osundahunsi et al.
R-Oct-19-50-pT12_MZ670950_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670950	R-Oct-19-50-pT12	Osundahunsi et al.
R-Aug-19-50-pT3_MZ670951_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2019	2019-08-11	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670951	R-Aug-19-50-pT3	Osundahunsi et al.
R-Oct-20-2-V1TA-1_MZ670952_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670952	R-Oct-20-2-V1TA-1	Osundahunsi et al.
R-Oct-20-2-V1TD-1_MZ670953_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670953	R-Oct-20-2-V1TD-1	Osundahunsi et al.
R-Oct-20-2-V1TB-1_MZ670954_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670954	R-Oct-20-2-V1TB-1	Osundahunsi et al.
R-Oct-20-2-V1TC-1_MZ670955_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670955	R-Oct-20-2-V1TC-1	Osundahunsi et al.
R-Oct-20-2-V1BD-1_MZ670956_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670956	R-Oct-20-2-V1BD-1	Osundahunsi et al.
R-Oct-20-2-V1BA-1_MZ670957_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670957	R-Oct-20-2-V1BA-1	Osundahunsi et al.
R-Oct-20-2-V1BC-1_MZ670958_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2020	2020-10-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ670958	R-Oct-20-2-V1BC-1	Osundahunsi et al.
