strain	date	country	region	host	accession	isolates	authors
N1_OQ677012_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-06-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677012	N1	Festus et al.
N2_OQ677013_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-06-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677013	N2	Festus et al.
N3_OQ677014_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-06-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OQ677014	N3	Festus et al.
N4_OQ677015_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-08-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OQ677015	N4	Festus et al.
N5_OQ677016_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-08-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OQ677016	N5	Festus et al.
Cam1_OR004208_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1996	1996-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	OR004208	Cam1	Festus et al.
Cam2_OR004209_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1996	1996-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	OR004209	Cam2	Festus et al.
Gh28_OR004210_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004210	Gh28	Festus et al.
Gh34_OR004211_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004211	Gh34	Festus et al.
Nig10_OR004212_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004212	Nig10	Festus et al.
Nig5_OR004213_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004213	Nig5	Festus et al.
Nig13_OR004214_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004214	Nig13	Festus et al.
Nig11_OR004215_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004215	Nig11	Festus et al.
Nig12_OR004216_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004216	Nig12	Festus et al.
Ben1_OR004217_Dioscorea-cayenensis-subsp.-rotundata_Benin_1996	1996-XX-XX	Benin	Unknown	Dioscorea cayenensis subsp. rotundata	OR004217	Ben1	Festus et al.
Cam4_OR004218_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1996	1996-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	OR004218	Cam4	Festus et al.
Gh27_OR004219_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004219	Gh27	Festus et al.
Gh30_OR004220_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004220	Gh30	Festus et al.
Nig4_OR004221_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004221	Nig4	Festus et al.
Gh35_OR004222_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004222	Gh35	Festus et al.
Gh32_OR004223_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004223	Gh32	Festus et al.
Gh36_OR004224_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004224	Gh36	Festus et al.
Gh33_OR004225_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2021	2021-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004225	Gh33	Festus et al.
Nig6_OR004226_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_1996	1996-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004226	Nig6	Festus et al.
Tog2_OR004227_Dioscorea-cayenensis-subsp.-rotundata_Togo_1996	1996-XX-XX	Togo	Unknown	Dioscorea cayenensis subsp. rotundata	OR004227	Tog2	Festus et al.
Nig3_OR004228_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2022	2022-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004228	Nig3	Festus et al.
Gh29_OR004229_Dioscorea-cayenensis-subsp.-rotundata_Ghana_2022	2022-XX-XX	Ghana	Africa	Dioscorea cayenensis subsp. rotundata	OR004229	Gh29	Festus et al.
Tog1_OR004230_Dioscorea-cayenensis-subsp.-rotundata_Togo_1996	1996-XX-XX	Togo	Unknown	Dioscorea cayenensis subsp. rotundata	OR004230	Tog1	Festus et al.
Cam3_OR004231_Dioscorea-cayenensis-subsp.-rotundata_Cameroon_1996	1996-XX-XX	Cameroon	Unknown	Dioscorea cayenensis subsp. rotundata	OR004231	Cam3	Festus et al.
Nig2_OR004232_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_1996	1996-XX-XX	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	OR004232	Nig2	Festus et al.
N1-3_MZ695335_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695335	N1-3	Nkere et al.
N3-3_MZ695336_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695336	N3-3	Nkere et al.
N2-4_MZ695337_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695337	N2-4	Nkere et al.
N2-5_MZ695338_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-15	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695338	N2-5	Nkere et al.
N19-3_MZ695339_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2014	2014-09-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695339	N19-3	Nkere et al.
N7-5_MZ695340_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2014	2014-09-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695340	N7-5	Nkere et al.
N9-7_MZ695341_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2014	2014-09-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695341	N9-7	Nkere et al.
N15-7_MZ695342_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2014	2014-09-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695342	N15-7	Nkere et al.
N24-7_MZ695343_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2014	2014-09-16	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695343	N24-7	Nkere et al.
N8-9_MZ695344_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695344	N8-9	Nkere et al.
N5-11_MZ695345_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695345	N5-11	Nkere et al.
N10-12_MZ695346_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695346	N10-12	Nkere et al.
N27-12_MZ695347_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695347	N27-12	Nkere et al.
N3-14_MZ695348_Dioscorea-cayenensis-subsp.-rotundata_Nigeria_2013	2013-09-18	Nigeria	Africa	Dioscorea cayenensis subsp. rotundata	MZ695348	N3-14	Nkere et al.
