Name;Accession;Organism;collection_date;country;host;strain
YMVIy;MT591043.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVIy
YMVJy;MT591044.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVJy
YMVKy;MT591045.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVKy
YMVLy;MT591046.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVLy
YMVMy;MT591047.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea alata;YMVMy
YMVNy;MT591048.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea alata;YMVNy
YMVQy;MT591049.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVQy
Yoo421;MT591050.1;Yam mosaic virus;2017-06-28;Nigeria;Dioscorea cayenensis subsp. rotundata;Yoo421
Yoju;MT591051.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yoju
Yoooo2;MT591052.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yoooo2
Yo2665;MT591053.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yo2665
Yo2607;MT591054.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yo2607
Yooo34;MT591055.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yooo34
Yoo497;MT591056.1;Yam mosaic virus;2017-08-30;Nigeria;Dioscorea cayenensis subsp. rotundata;Yoo497
YMVANb;MT591057.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVANb
YMVBNb;MT591058.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVBNb
YMVCNb;MT591059.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;YMVCNb
R-Nov-17-YB13;MZ670826.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB13
R-Nov-17-YB13;MZ670826.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB13
R-Nov-17-YB13;MZ670826.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB13
R-Nov-17-YB14;MZ670827.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB14
R-Nov-17-YB14;MZ670827.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB14
R-Nov-17-YB14;MZ670827.1;Yam mosaic virus;2017-07-10;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB14
R-Nov-17-YB16;MZ670828.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB16
R-Nov-17-YB16;MZ670828.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB16
R-Nov-17-YB16;MZ670828.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB16
R-Nov-17-YB18;MZ670829.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB18
R-Nov-17-YB18;MZ670829.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB18
R-Nov-17-YB18;MZ670829.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB18
R-Nov-17-YB19;MZ670830.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB19
R-Nov-17-YB19;MZ670830.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB19
